Date,Activity,Group,Duration,Distance,Steps,Calories
7/1/14,cycling,cycling,940,2.899,0,0
7/1/14,walking,walking,1029,0.733,1457,0
7/2/14,walking,walking,2185,1.606,3292,0
7/2/14,transport,transport,9325,86.389,0,0
7/2/14,cycling,cycling,334,1.227,0,0
7/3/14,walking,walking,579,0.380,870,0
7/3/14,transport,transport,3520,36.542,0,0
7/4/14,transport,transport,27570,434.532,0,0
7/4/14,walking,walking,2836,1.756,4367,0
7/5/14,transport,transport,29554,430.055,0,0
7/5/14,walking,walking,1769,0.910,2109,0
7/6/14,walking,walking,317,0.172,553,0
7/6/14,transport,transport,6870,67.202,0,0
7/7/14,cycling,cycling,1470,4.790,0,0
7/7/14,walking,walking,4041,2.750,6815,0
7/8/14,cycling,cycling,717,1.650,0,0
7/8/14,walking,walking,814,0.641,1196,0
