Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/7/14,cycling,cycling,2014-07-07T09:29:21-07:00,2014-07-07T09:39:24-07:00,603,1.525,0,0
7/7/14,walking,walking,2014-07-07T09:39:23-07:00,2014-07-07T09:48:34-07:00,551,0.345,944,0
7/7/14,walking,walking,2014-07-07T09:50:24-07:00,2014-07-07T09:51:24-07:00,60,0.022,71,0
7/7/14,walking,walking,2014-07-07T13:33:53-07:00,2014-07-07T13:45:23-07:00,690,0.524,1313,0
7/7/14,walking,walking,2014-07-07T13:53:07-07:00,2014-07-07T13:55:27-07:00,140,0.125,268,0
7/7/14,walking,walking,2014-07-07T14:20:27-07:00,2014-07-07T14:32:00-07:00,693,0.475,1158,0
7/7/14,walking,walking,2014-07-07T14:33:22-07:00,2014-07-07T14:34:22-07:00,60,0.035,112,0
7/7/14,cycling,cycling,2014-07-07T19:48:21-07:00,2014-07-07T19:51:51-07:00,210,0.619,0,0
7/7/14,walking,walking,2014-07-07T19:51:51-07:00,2014-07-07T19:57:47-07:00,356,0.248,531,0
7/7/14,walking,walking,2014-07-07T20:52:45-07:00,2014-07-07T20:58:51-07:00,366,0.235,697,0
7/7/14,cycling,cycling,2014-07-07T21:48:37-07:00,2014-07-07T21:52:35-07:00,238,0.748,0,0
7/7/14,walking,walking,2014-07-07T22:30:00-07:00,2014-07-07T22:48:45-07:00,1125,0.741,1721,0
7/7/14,cycling,cycling,2014-07-07T22:55:34-07:00,2014-07-07T23:02:33-07:00,419,1.898,0,0
